date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
2015-12-01,99C,"NHS NORTH TYNESIDE CCG",32188,124186.42,0,0
2015-12-01,00T,"NHS BOLTON CCG",32661,183304.48,0,0
2015-12-01,07K,"NHS WEST SUFFOLK CCG",33337,144360.86,0,0
2015-12-01,03Q,"NHS VALE OF YORK CCG",33614,127043.86,0,0
2015-12-01,03L,"NHS ROTHERHAM CCG",34240,134569.05,0,0
2015-12-01,02Y,"NHS EAST RIDING OF YORKSHIRE CCG",34329,160441.02,0,0
2015-12-01,05W,"NHS STOKE ON TRENT CCG",35040,149981.01,0,0
2015-12-01,03F,"NHS HULL CCG",35720,125946.16,0,0
2015-12-01,04V,"NHS WEST LEICESTERSHIRE CCG",37534,173269.98,0,0
2015-12-01,02H,"NHS WIGAN BOROUGH CCG",37692,199998.88,0,0
2015-12-01,05L,"NHS SANDWELL AND WEST BIRMINGHAM CCG",38384,142057.4,0,0
2015-12-01,01G,"NHS SALFORD CCG",38393,163960.98,0,0
2015-12-01,01W,"NHS STOCKPORT CCG",38594,186965.83,0,0
2015-12-01,14Y,"NHS BUCKINGHAMSHIRE CCG",39402,215684.39,0,0
2015-12-01,02P,"NHS BARNSLEY CCG",39723,142346.39,0,0
2015-12-01,06N,"NHS HERTS VALLEYS CCG",39948,195169.87,0,0
2015-12-01,01K,"NHS MORECAMBE BAY CCG",39949,220928.1,0,0
2015-12-01,02X,"NHS DONCASTER CCG",40004,167594.68,0,0
2015-12-01,15A,"NHS BERKSHIRE WEST CCG",40035,220492.96,0,0
2015-12-01,05A,"NHS COVENTRY AND RUGBY CCG",40147,149910.59,0,0
2015-12-01,06F,"NHS BEDFORDSHIRE CCG",40751,142523.7,0,0
2015-12-01,01H,"NHS NORTH CUMBRIA CCG",41425,178368.06,0,0
2015-12-01,06Q,"NHS MID ESSEX CCG",42109,167334.21,0,0
2015-12-01,03R,"NHS WAKEFIELD CCG",42488,178866.44,0,0
2015-12-01,12F,"NHS WIRRAL CCG",43861,155243.32,0,0
2015-12-01,01A,"NHS EAST LANCASHIRE CCG",43977,204341.35,0,0
2015-12-01,00L,"NHS NORTHUMBERLAND CCG",45191,175969.29,0,0
2015-12-01,42D,"NHS NORTH YORKSHIRE CCG",45701,188441.55,0,0
2015-12-01,06T,"NHS NORTH EAST ESSEX CCG",46479,226839.84,0,0
2015-12-01,06L,"NHS IPSWICH AND EAST SUFFOLK CCG",47101,208648.04,0,0
2015-12-01,00P,"NHS SUNDERLAND CCG",47976,154002.6,0,0
2015-12-01,11A,"NHS WEST HAMPSHIRE CCG",54400,296630.08,0,0
2015-12-01,06K,"NHS EAST AND NORTH HERTFORDSHIRE CCG",54830,249640.04,0,0
2015-12-01,11X,"NHS SOMERSET CCG",58682,241971.5,0,0
2015-12-01,97R,"NHS EAST SUSSEX CCG",59185,278961.46,0,0
2015-12-01,36J,"NHS BRADFORD DISTRICT AND CRAVEN CCG",61220,272175.59,0,0
2015-12-01,10Q,"NHS OXFORDSHIRE CCG",63435,376778.9,0,0
2015-12-01,99A,"NHS LIVERPOOL CCG",63977,260823.77,0,0
2015-12-01,14L,"NHS MANCHESTER CCG",65646,309810.41,0,0
2015-12-01,92A,"NHS SURREY HEARTLANDS CCG",69144,394819.48,0,0
2015-12-01,03N,"NHS SHEFFIELD CCG",70057,305073.72,0,0
2015-12-01,11M,"NHS GLOUCESTERSHIRE CCG",70804,299647.13,0,0
2015-12-01,11N,"NHS KERNOW CCG",73282,340358.31,0,0
2015-12-01,13T,"NHS NEWCASTLE GATESHEAD CCG",75277,304592.62,0,0
2015-12-01,70F,"NHS WEST SUSSEX CCG",78240,411128.86,0,0
2015-12-01,11J,"NHS DORSET CCG",78399,395212.33,0,0
2015-12-01,18C,"NHS HEREFORDSHIRE AND WORCESTERSHIRE CCG",78698,329990.84,0,0
2015-12-01,93C,"NHS NORTH CENTRAL LONDON CCG",79652,396704.07,0,0
2015-12-01,15F,"NHS LEEDS CCG",82158,333619.59,0,0
2015-12-01,27D,"NHS CHESHIRE CCG",83881,431602.17,0,0
2015-12-01,78H,"NHS NORTHAMPTONSHIRE CCG",87226,303438.85,0,0
2015-12-01,36L,"NHS SOUTH WEST LONDON CCG",88739,369193.53,0,0
2015-12-01,84H,"NHS COUNTY DURHAM CCG",89640,349507.79,0,0
2015-12-01,15E,"NHS BIRMINGHAM AND SOLIHULL CCG",91453,403426.75,0,0
2015-12-01,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",95625,381414.8,0,0
2015-12-01,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",96506,446978.79,0,0
2015-12-01,16C,"NHS TEES VALLEY CCG",98023,382736.7,0,0
2015-12-01,06H,"NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG",98131,308231.99,0,0
2015-12-01,72Q,"NHS SOUTH EAST LONDON CCG",100351,510595.35,0,0
2015-12-01,52R,"NHS NOTTINGHAM AND NOTTINGHAMSHIRE CCG",103205,566038.11,0,0
2015-12-01,71E,"NHS LINCOLNSHIRE CCG",105547,467358.54,0,0
2015-12-01,15M,"NHS DERBY AND DERBYSHIRE CCG",110138,516364.3,0,0
2015-12-01,15N,"NHS DEVON CCG",139520,610479.04,0,0
2015-12-01,26A,"NHS NORFOLK AND WAVENEY CCG",143153,602179.39,0,0
2015-12-01,91Q,"NHS KENT AND MEDWAY CCG",169150,867061.43,0,0
2016-01-01,02D,"NHS VALE ROYAL CCG",1,0.78,0,0
2016-01-01,09X,"NHS HORSHAM AND MID SUSSEX CCG",1,0.78,0,0
2016-01-01,10C,"NHS SURREY HEATH CCG",6456,32465.71,0,0
2016-01-01,02G,"NHS WEST LANCASHIRE CCG",9859,43895.92,0,0
2016-01-01,09A,"NHS CENTRAL LONDON (WESTMINSTER) CCG",10030,46458.11,0,0
2016-01-01,08C,"NHS HAMMERSMITH AND FULHAM CCG",10216,45720.61,0,0
2016-01-01,08Y,"NHS WEST LONDON CCG",10298,51494.25,0,0
2016-01-01,08E,"NHS HARROW CCG",10773,62304.34,0,0
2016-01-01,06P,"NHS LUTON CCG",11564,46314.73,0,0
2016-01-01,05D,"NHS EAST STAFFORDSHIRE CCG",11760,44792.18,0,0
2016-01-01,04Y,"NHS CANNOCK CHASE CCG",12200,40415.89,0,0
2016-01-01,08N,"NHS REDBRIDGE CCG",12219,56446.04,0,0
2016-01-01,07L,"NHS BARKING AND DAGENHAM CCG",12247,39719.47,0,0
2016-01-01,07T,"NHS CITY AND HACKNEY CCG",12304,53478.41,0,0
2016-01-01,05V,"NHS STAFFORD AND SURROUNDS CCG",12329,44506.99,0,0
2016-01-01,08W,"NHS WALTHAM FOREST CCG",12652,56541.66,0,0
2016-01-01,01V,"NHS SOUTHPORT AND FORMBY CCG",13037,59731.94,0,0
2016-01-01,02Q,"NHS BASSETLAW CCG",13098,41626.13,0,0
2016-01-01,07G,"NHS THURROCK CCG",13633,44917.99,0,0
2016-01-01,01F,"NHS HALTON CCG",13794,58137.93,0,0
2016-01-01,07P,"NHS BRENT CCG",13889,53847,0,0
2016-01-01,07Y,"NHS HOUNSLOW CCG",13994,55846.76,0,0
2016-01-01,05X,"NHS TELFORD AND WREKIN CCG",14660,71745.63,0,0
2016-01-01,99G,"NHS SOUTHEND CCG",14768,69439.67,0,0
2016-01-01,99F,"NHS CASTLE POINT AND ROCHFORD CCG",15160,65721.04,0,0
2016-01-01,08G,"NHS HILLINGDON CCG",16039,61566.22,0,0
2016-01-01,10L,"NHS ISLE OF WIGHT CCG",16130,93324.05,0,0
2016-01-01,99M,"NHS NORTH EAST HAMPSHIRE AND FARNHAM CCG",16250,73786.5,0,0
2016-01-01,08M,"NHS NEWHAM CCG",16396,66008.12,0,0
2016-01-01,07W,"NHS EALING CCG",16587,86862.26,0,0
2016-01-01,03H,"NHS NORTH EAST LINCOLNSHIRE CCG",16745,54917.74,0,0
2016-01-01,08F,"NHS HAVERING CCG",16765,59270.38,0,0
2016-01-01,00Q,"NHS BLACKBURN WITH DARWEN CCG",16798,60463.74,0,0
2016-01-01,00X,"NHS CHORLEY AND SOUTH RIBBLE CCG",17691,76729.02,0,0
2016-01-01,01T,"NHS SOUTH SEFTON CCG",17704,72211.45,0,0
2016-01-01,03J,"NHS NORTH KIRKLEES CCG",17791,69017.64,0,0
2016-01-01,05H,"NHS WARWICKSHIRE NORTH CCG",18085,62861.89,0,0
2016-01-01,05Q,"NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA CCG",18299,62858.06,0,0
2016-01-01,04F,"NHS MILTON KEYNES CCG",18357,72877.9,0,0
2016-01-01,03K,"NHS NORTH LINCOLNSHIRE CCG",18378,64799.14,0,0
2016-01-01,10K,"NHS FAREHAM AND GOSPORT CCG",19274,77331.42,0,0
2016-01-01,10V,"NHS SOUTH EASTERN HAMPSHIRE CCG",19339,79631.57,0,0
2016-01-01,00V,"NHS BURY CCG",19352,92543.35,0,0
2016-01-01,02E,"NHS WARRINGTON CCG",19419,75534.38,0,0
2016-01-01,01E,"NHS GREATER PRESTON CCG",20065,75762.12,0,0
2016-01-01,06A,"NHS WOLVERHAMPTON CCG",20127,69097.59,0,0
2016-01-01,01J,"NHS KNOWSLEY CCG",20597,74611,0,0
2016-01-01,00N,"NHS SOUTH TYNESIDE CCG",20983,74452.29,0,0
2016-01-01,03A,"NHS GREATER HUDDERSFIELD CCG",21031,93629.78,0,0
2016-01-01,02M,"NHS FYLDE AND WYRE CCG",21287,112167.43,0,0
2016-01-01,02T,"NHS CALDERDALE CCG",21301,83493.23,0,0
2016-01-01,99E,"NHS BASILDON AND BRENTWOOD CCG",21543,87861.16,0,0
2016-01-01,08V,"NHS TOWER HAMLETS CCG",21817,67067.32,0,0
2016-01-01,05Y,"NHS WALSALL CCG",21991,80931.32,0,0
2016-01-01,10R,"NHS PORTSMOUTH CCG",22345,90330.53,0,0
2016-01-01,05G,"NHS NORTH STAFFORDSHIRE CCG",22517,107398.35,0,0
2016-01-01,10J,"NHS NORTH HAMPSHIRE CCG",22591,104318.51,0,0
2016-01-01,05R,"NHS SOUTH WARWICKSHIRE CCG",22696,84966.28,0,0
2016-01-01,02A,"NHS TRAFFORD CCG",23777,150124.62,0,0
2016-01-01,10X,"NHS SOUTHAMPTON CCG",23957,130189.44,0,0
2016-01-01,00Y,"NHS OLDHAM CCG",24769,125427.37,0,0
2016-01-01,01X,"NHS ST HELENS CCG",25603,130026.86,0,0
2016-01-01,07H,"NHS WEST ESSEX CCG",25711,98934.93,0,0
2016-01-01,15D,"NHS EAST BERKSHIRE CCG",25760,127515.09,0,0
2016-01-01,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE CCG",25761,139530.55,0,0
2016-01-01,05C,"NHS DUDLEY CCG",26134,96963.38,0,0
2016-01-01,00R,"NHS BLACKPOOL CCG",26241,123661.43,0,0
2016-01-01,05N,"NHS SHROPSHIRE CCG",26739,117267.1,0,0
2016-01-01,03W,"NHS EAST LEICESTERSHIRE AND RUTLAND CCG",27783,124080.26,0,0
2016-01-01,01Y,"NHS TAMESIDE AND GLOSSOP CCG",28163,115378.6,0,0
2016-01-01,09D,"NHS BRIGHTON AND HOVE CCG",28207,121353.98,0,0
2016-01-01,04C,"NHS LEICESTER CITY CCG",28880,107321.57,0,0
2016-01-01,99C,"NHS NORTH TYNESIDE CCG",29639,97689.88,0,0
2016-01-01,03L,"NHS ROTHERHAM CCG",30347,107664.28,0,0
2016-01-01,00T,"NHS BOLTON CCG",30363,147114.96,0,0
2016-01-01,07K,"NHS WEST SUFFOLK CCG",30776,122929.65,0,0
2016-01-01,03Q,"NHS VALE OF YORK CCG",30800,107035.47,0,0
2016-01-01,05W,"NHS STOKE ON TRENT CCG",31146,118295.32,0,0
2016-01-01,02Y,"NHS EAST RIDING OF YORKSHIRE CCG",31251,125807.27,0,0
2016-01-01,03F,"NHS HULL CCG",32896,104638.8,0,0
2016-01-01,01W,"NHS STOCKPORT CCG",33875,146261.22,0,0
2016-01-01,02H,"NHS WIGAN BOROUGH CCG",33914,172237.5,0,0
2016-01-01,01G,"NHS SALFORD CCG",34523,157080.82,0,0
2016-01-01,04V,"NHS WEST LEICESTERSHIRE CCG",34699,141345.08,0,0
2016-01-01,05L,"NHS SANDWELL AND WEST BIRMINGHAM CCG",34727,118525.26,0,0
2016-01-01,15A,"NHS BERKSHIRE WEST CCG",35776,185038.63,0,0
2016-01-01,14Y,"NHS BUCKINGHAMSHIRE CCG",35811,196619.85,0,0
2016-01-01,02P,"NHS BARNSLEY CCG",36195,122261.35,0,0
2016-01-01,02X,"NHS DONCASTER CCG",36230,138610.21,0,0
2016-01-01,01K,"NHS MORECAMBE BAY CCG",36372,186920.27,0,0
2016-01-01,05A,"NHS COVENTRY AND RUGBY CCG",36893,120499.71,0,0
2016-01-01,06F,"NHS BEDFORDSHIRE CCG",36968,120311.39,0,0
2016-01-01,06N,"NHS HERTS VALLEYS CCG",37072,167553.35,0,0
2016-01-01,01H,"NHS NORTH CUMBRIA CCG",38616,148244.38,0,0
2016-01-01,01A,"NHS EAST LANCASHIRE CCG",38786,180964.5,0,0
2016-01-01,03R,"NHS WAKEFIELD CCG",38992,155675.4,0,0
2016-01-01,06Q,"NHS MID ESSEX CCG",39817,142260.89,0,0
2016-01-01,12F,"NHS WIRRAL CCG",40542,128566.29,0,0
2016-01-01,00L,"NHS NORTHUMBERLAND CCG",40908,147514.03,0,0
2016-01-01,42D,"NHS NORTH YORKSHIRE CCG",41955,159627.47,0,0
2016-01-01,06T,"NHS NORTH EAST ESSEX CCG",42229,193616.85,0,0
2016-01-01,06L,"NHS IPSWICH AND EAST SUFFOLK CCG",42851,170752.55,0,0
2016-01-01,00P,"NHS SUNDERLAND CCG",43996,127693.84,0,0
2016-01-01,06K,"NHS EAST AND NORTH HERTFORDSHIRE CCG",48768,211292.84,0,0
2016-01-01,11A,"NHS WEST HAMPSHIRE CCG",48983,242610.39,0,0
2016-01-01,11X,"NHS SOMERSET CCG",52811,190198.4,0,0
2016-01-01,97R,"NHS EAST SUSSEX CCG",54322,231063.87,0,0
2016-01-01,36J,"NHS BRADFORD DISTRICT AND CRAVEN CCG",56848,239641.67,0,0
2016-01-01,10Q,"NHS OXFORDSHIRE CCG",57852,331916.27,0,0
2016-01-01,14L,"NHS MANCHESTER CCG",59153,248855.1,0,0
2016-01-01,99A,"NHS LIVERPOOL CCG",59298,219699.54,0,0
2016-01-01,03N,"NHS SHEFFIELD CCG",61900,245053.48,0,0
2016-01-01,92A,"NHS SURREY HEARTLANDS CCG",63742,340222.89,0,0
2016-01-01,11M,"NHS GLOUCESTERSHIRE CCG",63836,229067.78,0,0
2016-01-01,11N,"NHS KERNOW CCG",66829,276782.27,0,0
2016-01-01,70F,"NHS WEST SUSSEX CCG",69974,358882.64,0,0
2016-01-01,13T,"NHS NEWCASTLE GATESHEAD CCG",70834,265933.68,0,0
2016-01-01,18C,"NHS HEREFORDSHIRE AND WORCESTERSHIRE CCG",71661,275119.68,0,0
2016-01-01,11J,"NHS DORSET CCG",73271,342320.36,0,0
2016-01-01,15F,"NHS LEEDS CCG",74535,278921.58,0,0
2016-01-01,93C,"NHS NORTH CENTRAL LONDON CCG",74938,340788.46,0,0
2016-01-01,27D,"NHS CHESHIRE CCG",75434,366137.01,0,0
2016-01-01,78H,"NHS NORTHAMPTONSHIRE CCG",79071,247446.84,0,0
2016-01-01,84H,"NHS COUNTY DURHAM CCG",82826,299112.14,0,0
2016-01-01,36L,"NHS SOUTH WEST LONDON CCG",84305,326544.33,0,0
2016-01-01,15E,"NHS BIRMINGHAM AND SOLIHULL CCG",85265,324118.75,0,0
2016-01-01,16C,"NHS TEES VALLEY CCG",86886,320419.82,0,0
2016-01-01,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",87314,371506.23,0,0
2016-01-01,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",87396,317405.03,0,0
2016-01-01,06H,"NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG",88485,254649.32,0,0
2016-01-01,52R,"NHS NOTTINGHAM AND NOTTINGHAMSHIRE CCG",93391,490462.79,0,0
2016-01-01,72Q,"NHS SOUTH EAST LONDON CCG",93859,439811.62,0,0
2016-01-01,71E,"NHS LINCOLNSHIRE CCG",94989,377258.49,0,0
2016-01-01,15M,"NHS DERBY AND DERBYSHIRE CCG",98046,416750.65,0,0
2016-01-01,15N,"NHS DEVON CCG",121894,477674.76,0,0
2016-01-01,26A,"NHS NORFOLK AND WAVENEY CCG",130178,504228.96,0,0
2016-01-01,91Q,"NHS KENT AND MEDWAY CCG",155767,711305.36,0,0
2016-02-01,01C,"NHS EASTERN CHESHIRE CCG",2,2.7,0,0
2016-02-01,10C,"NHS SURREY HEATH CCG",6229,30273.64,0,0
2016-02-01,08Y,"NHS WEST LONDON CCG",9628,51860.91,0,0
2016-02-01,02G,"NHS WEST LANCASHIRE CCG",9724,43507.45,0,0
2016-02-01,09A,"NHS CENTRAL LONDON (WESTMINSTER) CCG",9807,47717.8,0,0
2016-02-01,08C,"NHS HAMMERSMITH AND FULHAM CCG",9849,43372.08,0,0
2016-02-01,08E,"NHS HARROW CCG",10479,57711.92,0,0
2016-02-01,06P,"NHS LUTON CCG",11449,52071.57,0,0
2016-02-01,08N,"NHS REDBRIDGE CCG",11554,49826.58,0,0
2016-02-01,04Y,"NHS CANNOCK CHASE CCG",11711,39510.13,0,0
2016-02-01,05D,"NHS EAST STAFFORDSHIRE CCG",11742,41248.24,0,0
2016-02-01,07L,"NHS BARKING AND DAGENHAM CCG",11868,38107.73,0,0
2016-02-01,07T,"NHS CITY AND HACKNEY CCG",11943,50446.12,0,0
2016-02-01,05V,"NHS STAFFORD AND SURROUNDS CCG",12331,42245.69,0,0
2016-02-01,08W,"NHS WALTHAM FOREST CCG",12494,54121.98,0,0
2016-02-01,01V,"NHS SOUTHPORT AND FORMBY CCG",12639,60699.13,0,0
2016-02-01,02Q,"NHS BASSETLAW CCG",13158,43168.39,0,0
2016-02-01,07P,"NHS BRENT CCG",13286,50653.4,0,0
2016-02-01,07G,"NHS THURROCK CCG",13517,44454.33,0,0
2016-02-01,07Y,"NHS HOUNSLOW CCG",13770,60260.2,0,0
2016-02-01,99F,"NHS CASTLE POINT AND ROCHFORD CCG",14005,59235.56,0,0
2016-02-01,01F,"NHS HALTON CCG",14142,58753.64,0,0
2016-02-01,99G,"NHS SOUTHEND CCG",14692,67919.03,0,0
2016-02-01,05X,"NHS TELFORD AND WREKIN CCG",15012,72759.91,0,0
2016-02-01,08M,"NHS NEWHAM CCG",15669,60854.5,0,0
2016-02-01,07W,"NHS EALING CCG",15896,83570.55,0,0
2016-02-01,08G,"NHS HILLINGDON CCG",15930,63171.29,0,0
2016-02-01,99M,"NHS NORTH EAST HAMPSHIRE AND FARNHAM CCG",15946,70624.53,0,0
2016-02-01,10L,"NHS ISLE OF WIGHT CCG",15975,94295.26,0,0
2016-02-01,00Q,"NHS BLACKBURN WITH DARWEN CCG",16256,60942.76,0,0
2016-02-01,08F,"NHS HAVERING CCG",16620,58505.88,0,0
2016-02-01,03H,"NHS NORTH EAST LINCOLNSHIRE CCG",16894,58247.18,0,0
2016-02-01,03J,"NHS NORTH KIRKLEES CCG",17557,73008.7,0,0
2016-02-01,01T,"NHS SOUTH SEFTON CCG",17637,72377.05,0,0
2016-02-01,00X,"NHS CHORLEY AND SOUTH RIBBLE CCG",18079,80219.43,0,0
2016-02-01,05H,"NHS WARWICKSHIRE NORTH CCG",18155,63164.28,0,0
2016-02-01,04F,"NHS MILTON KEYNES CCG",18214,71412.63,0,0
2016-02-01,03K,"NHS NORTH LINCOLNSHIRE CCG",18407,67608.98,0,0
2016-02-01,05Q,"NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA CCG",18698,65923.59,0,0
2016-02-01,10V,"NHS SOUTH EASTERN HAMPSHIRE CCG",19087,83382.3,0,0
2016-02-01,02E,"NHS WARRINGTON CCG",19185,72300.43,0,0
2016-02-01,10K,"NHS FAREHAM AND GOSPORT CCG",19219,78044.49,0,0
2016-02-01,00V,"NHS BURY CCG",19270,97938.45,0,0
2016-02-01,02T,"NHS CALDERDALE CCG",19903,83317.5,0,0
2016-02-01,06A,"NHS WOLVERHAMPTON CCG",20050,72103.1,0,0
2016-02-01,01E,"NHS GREATER PRESTON CCG",20276,77926.09,0,0
2016-02-01,01J,"NHS KNOWSLEY CCG",20422,74346.98,0,0
2016-02-01,00N,"NHS SOUTH TYNESIDE CCG",20426,74297.57,0,0
2016-02-01,03A,"NHS GREATER HUDDERSFIELD CCG",20729,92982.09,0,0
2016-02-01,99E,"NHS BASILDON AND BRENTWOOD CCG",20924,85692.51,0,0
2016-02-01,08V,"NHS TOWER HAMLETS CCG",20957,65105.76,0,0
2016-02-01,02M,"NHS FYLDE AND WYRE CCG",21301,109869.88,0,0
2016-02-01,10J,"NHS NORTH HAMPSHIRE CCG",21566,100520.54,0,0
2016-02-01,05G,"NHS NORTH STAFFORDSHIRE CCG",21981,105090.05,0,0
2016-02-01,10R,"NHS PORTSMOUTH CCG",22335,96428.47,0,0
2016-02-01,05Y,"NHS WALSALL CCG",22506,84413.24,0,0
2016-02-01,05R,"NHS SOUTH WARWICKSHIRE CCG",22703,93294.5,0,0
2016-02-01,10X,"NHS SOUTHAMPTON CCG",23109,123844.64,0,0
2016-02-01,00Y,"NHS OLDHAM CCG",24126,115731.24,0,0
2016-02-01,02A,"NHS TRAFFORD CCG",24445,151354.55,0,0
2016-02-01,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE CCG",24698,132561.12,0,0
2016-02-01,07H,"NHS WEST ESSEX CCG",25086,92850.99,0,0
2016-02-01,01X,"NHS ST HELENS CCG",25645,125850.87,0,0
